Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,number_established_years
food,9.5,regular,0.035205866,fruits_and_vegetables,171.3448,out049,medium,tier_1,supermarket_type1,2386.2272,22
non-consumable,18.0,low_fat,0.047473135,household,170.5422,out045,ultra_high,tier_2,supermarket_type1,3103.9596,19
food,17.6,regular,0.076121831,meat,111.7202,out046,small,tier_1,supermarket_type1,1125.202,24
food,8.325,low_fat,0.029845243,fruits_and_vegetables,41.6138,out045,ultra_high,tier_2,supermarket_type1,284.2966,19
food,12.85,low_fat,0.137227848,snack_foods,155.563,out046,small,tier_1,supermarket_type1,4224.501,24
food,12.857645184135976,regular,0.099780431,fruits_and_vegetables,225.2088,out019,small,tier_1,grocery_store,447.4176,36
food,12.857645184135976,low_fat,0.014008751,dairy,171.3422,out019,small,tier_1,grocery_store,862.211,36
food,12.15,Regular,0.13283066,fruits_and_vegetables,190.6872,out017,ultra_high,tier_2,supermarket_type1,2269.0464,14
non-consumable,13.85,low_fat,0.031338558,others,41.048,out046,small,tier_1,supermarket_type1,639.168,24
food,12.857645184135976,regular,0.056596985,snack_foods,230.9984,out027,medium,tier_3,supermarket_type3,9267.936,36
food,20.0,regular,0.100262068,baking_goods,169.6132,out010,ultra_high,tier_3,grocery_store,169.1132,23
food,7.825,low_fat,0.079952983,meat,62.7826,out018,medium,tier_3,supermarket_type2,1162.4868,12
non-consumable,19.25,low_fat,0.107940533,household,35.5558,out013,high,tier_3,supermarket_type1,305.6022,34
drinks,6.11,regular,0.0,soft_drinks,43.0086,out049,medium,tier_1,supermarket_type1,713.7376,22
non-consumable,16.35,low_fat,0.029445361,household,257.6646,out046,small,tier_1,supermarket_type1,2061.3168,24
drinks,15.75,low_fat,0.14048631,hard_drinks,252.7382,out013,high,tier_3,supermarket_type1,3280.3966,34
food,12.857645184135976,regular,0.013529884,fruits_and_vegetables,106.2596,out027,medium,tier_3,supermarket_type3,1402.1748,36
food,17.7,regular,0.041098734,fruits_and_vegetables,80.9276,out018,medium,tier_3,supermarket_type2,487.3656,12
non-consumable,21.25,low_fat,0.114246019,health_and_hygiene,231.23,out017,ultra_high,tier_2,supermarket_type1,3029.39,14
food,17.25,regular,0.047266211,snack_foods,97.0068,out046,small,tier_1,supermarket_type1,1846.9292,24
food,14.5,regular,0.063993068,breads,260.4594,out045,ultra_high,tier_2,supermarket_type1,5494.8474,19
